"No country set, change to %1","No country set, change to %1"
"Wrong country set %1, change to %2","Wrong country set %1, change to %2"
"Svea checkout is not available for %1, country was changed to %2.","Svea checkout is not available for %1, country was changed to %2."
"Checkout was reloaded.","Checkout was reloaded."
"The Svea Checkout is not enabled, please use an alternative checkout method.","The Svea Checkout is not enabled, please use an alternative checkout method."
"The Svea Checkout is NOT available (no allowed country), please use an alternative checkout method.","The Svea Checkout is NOT available (no allowed country), please use an alternative checkout method."
"There are no items in your cart.","There are no items in your cart."
"The cart contains errors.","The cart contains errors."
"Subtotal must exceed minimum order amount.","Subtotal must exceed minimum order amount."
"Country is not set.","Country is not set."
"This currency is not available, please use an alternative checkout.","This currency is not available, please use an alternative checkout."
"Currency was changed to %1.","Currency was changed to %1."
"Invalid country (%1)","Invalid country (%1)"
"Order %1, cannot create customer [%2]: %3","Order %1, cannot create customer [%2]: %3"
"Authorize action is not available.","Authorize action is not available."
"Authorized amount of %1.","Authorized amount of %1."
"Capture action is not available.","Capture action is not available."
"Could not Capture order. %1","Could not Capture order. %1"
"Refund action is not available.","Refund action is not available."
"Could not Refund Invoice. %1","Could not Refund Invoice. %1"
"Void/Cancel action is not available.","Void/Cancel action is not available."
"Could not cancel order. %1","Could not cancel order. %1"
"Detach is not available.","Detach is not available."
"Could not save the push: %1","Could not save the push: %1"
"The push doesn't exist.","The push doesn't exist."
"Empty Cart","Empty Cart"
"Cart has errors, cannot checkout.","Cart has errors, cannot checkout."
"You need an svea payment ID to void.","You need an svea payment ID to void."
"Cannot capture online, no invoice set","Cannot capture online, no invoice set"
"Could not load svea order","Could not load svea order"
"Could not map order row numbers, so we cannot perform this action. Please do it manually","Could not map order row numbers, so we cannot perform this action. Please do it manually"
"You need an svea payment ID to capture.","You need an svea payment ID to capture."
"This delivery is still in progress. Try again soon.","This delivery is still in progress. Try again soon."
"Found no deliveries to refund on. Please refund offline, and do the rest manually in Svea.","Found no deliveries to refund on. Please refund offline, and do the rest manually in Svea."
"Can't refund this invoice. Please refund offline, and do the rest manually in Svea.","Can't refund this invoice. Please refund offline, and do the rest manually in Svea."
"This is a partial credit memo. You have to add an adjustment fee that is the same amount as the svea invoice fee.","This is a partial credit memo. You have to add an adjustment fee that is the same amount as the svea invoice fee."
"You need an svea ID and Svea Delivery ID to refund.","You need an svea ID and Svea Delivery ID to refund."
"Shipping Fee (%1)","Shipping Fee (%1)"
"Discount (%1)","Discount (%1)"
"The grand total price does not match the price being sent to Svea. Please contact an admin or use another checkout method.","The grand total price does not match the price being sent to Svea. Please contact an admin or use another checkout method."
"Svea Order ID","Svea Order ID"
"Svea Checkout Order ID","Svea Checkout Order ID"
"Svea Checkout Order ID: %1","Svea Checkout Order ID: %1"
"Order number:","Order number:"
"#: %1","#: %1"
"Date","Date"
"Order Details","Order Details"
"Product","Product"
"Discount:","Discount:"
"Shipping","Shipping"
"Payment Method:","Payment Method:"
"Total:","Total:"
"Continue Shopping","Continue Shopping"
"Cross-sell products","Cross-sell products"
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Sign Up for Our Newsletter","Sign Up for Our Newsletter"
"Checkout","Checkout"
"Sorry, no quotes are available for this order right now.","Sorry, no quotes are available for this order right now."
"Shipping Method","Shipping Method"
"Country","Country"
"Postal code","Postal code"
"Choose Delivery","See Delivery Methods"
"Item","Item"
"Description","Description"
"Quantity","Quantity"
"Use coupon","Use coupon"
"Do you have a coupon code?","Do you have a coupon code?"
"Click here to enter code","Click here to enter code"
"Coupon Code","Coupon Code"
"Enter discount code","Enter discount code"
"Apply Discount","Apply Discount"
"Cancel Coupon","Cancel Coupon"
"Product Name","Product Name"
"Price","Price"
"Qty","Qty"
"Excl. Tax","Excl. Tax"
"Incl. Tax","Incl. Tax"
"Subtotal","Subtotal"
"Remove","Remove"
"Order Comment (Optionally)","Order Comment (Optional)"
"Enter a comment for this order","Enter a comment for this order"
"Save","Save"
"Use a different payment method","Use a different payment method"
"Svea Checkout Order ID ","Svea Checkout Order ID "
"Finish purchase","Finish purchase"
"Submitting order information...","Submitting order information..."
"Are you sure you want to remove this?","Are you sure you want to remove this?"
"Sorry, something went wrong. Please try again (reload this page)","Sorry, something went wrong. Please try again (reload this page)"
"Sorry, something went wrong. Please try again later.","Sorry, something went wrong. Please try again later."
"The cart was updated (from another location), reloading the checkout, please wait...","The cart was updated (from another location), reloading the checkout, please wait..."
"The requested changes were not applied. The cart was updated (from another location), please review the cart.","The requested changes were not applied. The cart was updated (from another location), please review the cart."
"We can't update your subscription.","We can't update your subscription."
"Coupon code is not valid (or missing)","Coupon code is not valid (or missing)"
"Coupon code %1 was applied.","Coupon code %1 was applied."
"Coupon code %1 is not valid,","Coupon code %1 is not valid,"
"Coupon code was canceled.","Coupon code was canceled."
"We can't apply your coupon.","We can't apply your coupon."
"We can't update your Country / postal code.","We can't update your Country / postal code."
"Order received","Order received"
"We can't update your comment.","We can't update your comment."
"Invalid Quote hash","Invalid Quote hash"
"Found no svea order id.","Found no svea order id."
"The Svea Order ID is invalid.","The Svea Order ID is invalid."
