"Column1","Column2"
"No country set, change to %1","Maakoodia ei määritetty, vaihda 1%"
"Wrong country set %1, change to %2","Väärä maakoodi asetettu, vaihda 2% "
"Svea checkout is not available for %1, country was changed to %2.","Svea Checkout ei mahdollinen %1, maakoodi vaihdettu 2%"
"Checkout was reloaded.","Checkout ladattiin uudelleen"
"The Svea Checkout is not enabled, please use an alternative checkout method.","Svea Checkout ei ole käytössä,ole hyvä ja käytä muuta maksutapaa."
"The Svea Checkout is NOT available (no allowed country), please use an alternative checkout method.","Svea Checkout ei ole käytössä tässä maassa, ole hyvä ja valitse toinen maksutapa."
"There are no items in your cart.","Ostoskori on tyhjä"
"The cart contains errors.","Ostoskorissa on virheitä."
"Subtotal must exceed minimum order amount.","Yhteissumman pitää ylittää minimiostossumma"
"Country is not set.","Maakoodia ei asetettu"
"This currency is not available, please use an alternative checkout.","Tämä valuutta ei ole käytössä, ole hyvä ja valitse toinen maksutapa."
"Currency was changed to %1.","Valuutta on vaihdettu "
"Invalid country (%1)","Maakoodi virheellinen"
"Order %1, cannot create customer [%2]: %3","Tilaus %1, ei voitu luoda asiakasta "
"Authorize action is not available.","Toiminto ei mahdollinen."
"Authorized amount of %1.","Varmennettu summa %1"
"Capture action is not available.","Toiminto ei käytössä"
"Could not Capture order. %1","Toimitoa ei voi suorittaa. %1"
"Refund action is not available.","Hyvitys ei mahdollinen"
"Could not Refund Invoice. %1","Laskua ei voi hyvittää"
"Void/Cancel action is not available.","Peruutus ei mahdollinen"
"Could not cancel order. %1","Tilausta ei voitu perua. %1"
"Detach is not available.","Irroitus ei mahdollista."
"Could not save the push: %1","Toimintoa ei voi tallentaa. %1"
"The push doesn't exist.","Toimintoa ei olemassa."
"Empty Cart","Ostoskori on tyhjä"
"Cart has errors, cannot checkout.","Ostoskorissa on virheitä, ostosta ei voi tehdä"
"You need an svea payment ID to void.","Tarvitset Svea maksutapa ID:n hyvittääksesi"
"Cannot capture online, no invoice set","Ei voi tallentaa, laskua ei muodostettu."
"Could not load svea order","Svea tilausta ei voitu ladata"
"Could not map order row numbers, so we cannot perform this action. Please do it manually","Tapahtumaa ei voida suorittaa, ole hyvä ja tee tapahtuma manuaalisesti."
"You need an svea payment ID to capture.","Tarvitset Svea  tilausnumeron tallentaaksesi"
"This delivery is still in progress. Try again soon.","Tämä tilaus on käsittelyssä. Yritä myöhemmin uudelleen."
"Found no deliveries to refund on. Please refund offline, and do the rest manually in Svea.","Ei löytynyt hyvitettäviä toimituksia. Ole hyvä ja hyvitä manuaalisesti loppuun Svealle"
"Can't refund this invoice. Please refund offline, and do the rest manually in Svea.","Laskua ei voida hyvittää. Ole hyvä ja hyvitä offline ja tee hyvitys manuaalisesti Svean kautta."
"This is a partial credit memo. You have to add an adjustment fee that is the same amount as the svea invoice fee.","Tämä on osahyvityksen muistio. Sinun tulee lisätä kulun korjaus Svean laskutuslisän summalle."
"You need an svea ID and Svea Delivery ID to refund.","Hvyitystä varten tarvitset Svea tilausnumeron"
"Shipping Fee (%1)","Toimitusmaksu (%1)"
"Discount (%1)","Alennus (%1)"
"The grand total price does not match the price being sent to Svea. Please contact an admin or use another checkout method.","Loppusumma ei vastaa hintaa joka on ilmoitettu Svealle. Ole hyvä ja ota yhteyttä tukeen tai vaihda maksutapaa."
"Svea Order ID","Svea tilausnumero"
"Svea Checkout Order ID","Svea Checkout tilausnumero "
"Svea Checkout Order ID: %1","Svea Checkout tilausnumero: %1"
"Order number:","Tilausnumero:"
"#: %1","#: %1"
"Date","Päivämäärä"
"Order Details","Tilauksen tiedot"
"Product","Tuote"
"Discount:","Alennus:"
"Shipping","Toimitus"
"Payment Method:","Maksutapa"
"Total:","Yhteensä:"
"Continue Shopping","Jatka ostoksia"
"Cross-sell products","Rajoitetut tuotteet"
"Add to Cart","Lisää ostoskoriin"
"In stock","Varastossa"
"Out of stock","Loppunut varastosta"
"Sign Up for Our Newsletter","Rekisteröidy uutiskirjeen tilaajaksi"
"Checkout","Kassa"
"Sorry, no quotes are available for this order right now.","Pahoittelut, tälle tilaukselle ei tällä hetkellä ole tarjouksia saatavilla."
"Shipping Method","Toimitustapa"
"Country","Maa"
"Postal code","Postinumero"
"Choose Delivery","Valitse toimitustapa"
"Item","Tuote"
"Description","Kuvaus"
"Quantity","Määrä"
"Use coupon","Käytä kuponki"
"Do you have a coupon code?","Onko sinulla alennuskoodi?"
"Click here to enter code","Paina tästä syöttääksesi koodin"
"Coupon Code","Kuponki koodi"
"Enter discount code","Syötä alennuskoodi"
"Apply Discount","Käytä alennus"
"Cancel Coupon","Peruuta koodi"
"Product Name","Tuotenimi"
"Price","Hinta"
"Qty","Määrä"
"Excl. Tax","Ei sis. Alv"
"Incl. Tax","Sis. Alv"
"Subtotal","Yhteissumma"
"Remove","Siirrä"
"Order Comment (Optionally)","Tilaus kommentti ( vapaaehtoinen)"
"Enter a comment for this order","Syötä lisätietoa tilaukselle"
"Save","Tallenna"
"Use a different payment method","Käytä toista maksutapaa"
"Svea Checkout Order ID ","Svea Checkout tilausnumero"
"Finish purchase","Päätä ostos"
"Submitting order information...","Tilaustietojen lähettäminen"
"Are you sure you want to remove this?","Oletko varma että haluat poistaa tämän?"
"Sorry, something went wrong. Please try again (reload this page)","Pahoittelut, jotain meni vikaan. Kokeile myöhemmin uudelleen. ( lataa sivu uudelleen)"
"Sorry, something went wrong. Please try again later.","Pahoittelut, jotain meni vikaan. Kokeile myöhemmin uudelleen."
"The cart was updated (from another location), reloading the checkout, please wait...","Ostoskori päivitettiin.Ole hyvä ja odota kun tietoja päivitetään... "
"The requested changes were not applied. The cart was updated (from another location), please review the cart.","Pyydettyjä muutoksia ei tehty. Ostoskoria päivitettiin, tarkista muutokset."
"We can't update your subscription.","Emme voi päivittää tilaustasi."
"Coupon code is not valid (or missing)","Kuponkikoodia ei tunnistettu"
"Coupon code %1 was applied.","Kuponki koodi käytetty"
"Coupon code %1 is not valid,","Kuponki koodi ei käytössä"
"Coupon code was canceled.","Alennuskuponki peruutettiin."
"We can't apply your coupon.","Kuponkia ei voi käyttää"
